Language,Variation
Afrikaans,Afrikaans (South Africa)
Amharic,Amharic (Ethiopia)
Arabic,Arabic (Algeria)
Arabic,"Arabic (Bahrain), modern standard"
Arabic,Arabic (Egypt)
Arabic,Arabic (Iraq)
Arabic,Arabic (Israel)
Arabic,Arabic (Jordan)
Arabic,Arabic (Kuwait)
Arabic,Arabic (Lebanon)
Arabic,Arabic (Libya)
Arabic,Arabic (Morocco)
Arabic,Arabic (Oman)
Arabic,Arabic (Palestinian Authority)
Arabic,Arabic (Qatar)
Arabic,Arabic (Saudi Arabia)
Arabic,Arabic (Syria)
Arabic,Arabic (Tunisia)
Arabic,Arabic (United Arab Emirates)
Arabic,Arabic (Yemen)
Bulgarian,Bulgarian (Bulgaria)
Burmese,Burmese (Myanmar)
Catalan,Catalan (Spain)
Chinese,"Chinese (Cantonese, Traditional)"
Chinese,"Chinese (Mandarin, Simplified)"
Chinese,Chinese (Taiwanese Mandarin)
Croatian,Croatian (Croatia)
Czech,Czech (Czech)
Danish,Danish (Denmark)
Dutch,Dutch (Belgium)
Dutch,Dutch (Netherlands)
English,English (Australia)
English,English (Canada)
English,English (Ghana)
English,English (Hong Kong)
English,English (India)
English,English (Ireland)
English,English (Kenya)
English,English (New Zealand)
English,English (Nigeria)
English,English (Philippines)
English,English (Singapore)
English,English (South Africa)
English,English (Tanzania)
English,English (United Kingdom)
English,English (United States)
Estonian,Estonian (Estonia)
Filipino,Filipino (Philippines)
Finnish,Finnish (Finland)
French,French (Belgium)
French,French (Canada)
French,French (France)
French,French (Switzerland)
German,German (Austria)
German,German (Germany)
German,German (Switzerland)
Greek,Greek (Greece)
Gujarati,Gujarati (Indian)
Hebrew,Hebrew (Israel)
Hindi,Hindi (India)
Hungarian,Hungarian (Hungary)
Icelandic,Icelandic (Iceland)
Indonesian,Indonesian (Indonesia)
Irish,Irish (Ireland)
Italian,Italian (Italy)
Japanese,Japanese (Japan)
Javanese,Javanese (Indonesia)
Kannada,Kannada (India)
Khmer,Khmer (Cambodia)
Korean,Korean (Korea)
Lao,Lao (Laos)
Latvian,Latvian (Latvia)
Lithuanian,Lithuanian (Lithuania)
Macedonian,Macedonian (North Macedonia)
Malay,Malay (Malaysia)
Maltese,Maltese (Malta)
Marathi,Marathi (India)
Norwegian,"Norwegian (Bokmål, Norway)"
Persian,Persian (Iran)
Polish,Polish (Poland)
Portuguese,Portuguese (Brazil)
Portuguese,Portuguese (Portugal)
Romanian,Romanian (Romania)
Russian,Russian (Russia)
Serbian,Serbian (Serbia)
Sinhala,Sinhala (Sri Lanka)
Slovak,Slovak (Slovakia)
Slovenian,Slovenian (Slovenia)
Spanish,Spanish (Argentina)
Spanish,Spanish (Bolivia)
Spanish,Spanish (Chile)
Spanish,Spanish (Colombia)
Spanish,Spanish (Costa Rica)
Spanish,Spanish (Cuba)
Spanish,Spanish (Dominican Republic)
Spanish,Spanish (Ecuador)
Spanish,Spanish (El Salvador)
Spanish,Spanish (Equatorial Guinea)
Spanish,Spanish (Guatemala)
Spanish,Spanish (Honduras)
Spanish,Spanish (Mexico)
Spanish,Spanish (Nicaragua)
Spanish,Spanish (Panama)
Spanish,Spanish (Paraguay)
Spanish,Spanish (Peru)
Spanish,Spanish (Puerto Rico)
Spanish,Spanish (Spain)
Spanish,Spanish (Uruguay)
Spanish,Spanish (USA)
Spanish,Spanish (Venezuela)
Swahili,Swahili (Kenya)
Swahili,Swahili (Tanzania)
Swedish,Swedish (Sweden)
Tamil,Tamil (India)
Telugu,Telugu (India)
Thai,Thai (Thailand)
Turkish,Turkish (Turkey)
Ukrainian,Ukrainian (Ukraine)
Uzbek,Uzbek (Uzbekistan)
Vietnamese,Vietnamese (Vietnam)
Zulu,Zulu (South Africa)
